Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
21,21,male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,yes,Express,yes,yes,50,Cash,Every 3 Months
22,31,male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,yes,Store Pickup,yes,yes,22,Debit Card,Quarterly
23,56,male,Pants,Clothing,37,California,M,Peach,Summer,3.2,yes,Store Pickup,yes,yes,32,Debit Card,Annually
24,31,male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,yes,Express,yes,yes,40,Credit Card,Weekly
25,18,male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,yes,Store Pickup,yes,yes,16,Debit Card,Weekly
26,18,male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,yes,Express,yes,yes,14,PayPal,Annually
27,38,male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,yes,Next Day Air,yes,yes,13,Credit Card,Annually
28,56,male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,yes,Next Day Air,yes,yes,7,Bank Transfer,Every 3 Months
29,54,male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,yes,Free Shipping,yes,yes,41,PayPal,Every 3 Months
30,31,male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,yes,Store Pickup,yes,yes,14,Credit Card,Weekly
31,57,male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,yes,Standard,yes,yes,16,Credit Card,Monthly
32,33,male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,yes,Store Pickup,yes,yes,45,Venmo,Monthly
33,36,male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,yes,Free Shipping,yes,yes,37,Venmo,Annually
34,54,male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,yes,Store Pickup,yes,yes,45,Cash,Quarterly
35,36,male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,yes,2-Day Shipping,yes,yes,38,PayPal,Quarterly
36,54,male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4,yes,2-Day Shipping,yes,yes,48,Credit Card,Bi-Weekly
37,35,male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,yes,Free Shipping,yes,yes,44,PayPal,Fortnightly
38,35,male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,yes,Store Pickup,yes,yes,10,PayPal,Weekly
39,29,male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,yes,2-Day Shipping,yes,yes,44,Venmo,Every 3 Months
40,70,male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,yes,Express,yes,yes,18,Credit Card,Monthly
41,69,male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,yes,Next Day Air,yes,yes,31,Debit Card,Quarterly
42,67,male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,yes,Standard,yes,yes,40,Venmo,Annually
43,20,male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,yes,Free Shipping,yes,yes,15,PayPal,Annually
44,25,male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,yes,Store Pickup,yes,yes,19,PayPal,Fortnightly
45,39,male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,yes,Free Shipping,yes,yes,45,PayPal,Weekly
46,50,male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,yes,2-Day Shipping,yes,yes,25,PayPal,Annually
47,57,male,Shirt,Clothing,43,California,L,White,Summer,2.9,yes,Store Pickup,yes,yes,45,Cash,Quarterly
48,55,male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,yes,Free Shipping,yes,yes,36,Cash,Weekly
49,42,male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,yes,Store Pickup,yes,yes,38,Cash,Monthly
50,68,male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,yes,Next Day Air,yes,yes,34,Debit Card,Bi-Weekly
51,49,male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,yes,Store Pickup,yes,yes,39,Debit Card,Bi-Weekly
52,59,male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,yes,2-Day Shipping,yes,yes,7,Credit Card,Quarterly
53,42,male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,yes,Free Shipping,yes,yes,26,Credit Card,Weekly
54,29,male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,yes,Next Day Air,yes,yes,35,Credit Card,Weekly
55,47,male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,yes,Next Day Air,yes,yes,35,Debit Card,Bi-Weekly
56,40,male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3,yes,2-Day Shipping,yes,yes,49,Credit Card,Annually
57,41,male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,yes,Store Pickup,yes,yes,46,Credit Card,Weekly
58,21,male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,yes,Store Pickup,yes,yes,17,Debit Card,Fortnightly
59,69,male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,yes,Free Shipping,yes,yes,29,Venmo,Monthly
60,63,male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,yes,Standard,yes,yes,4,Debit Card,Weekly
61,50,male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,yes,Express,yes,yes,17,Cash,Weekly
62,55,male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,yes,Store Pickup,yes,yes,21,Credit Card,Every 3 Months
63,30,male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,yes,Free Shipping,yes,yes,31,Credit Card,Fortnightly
64,33,male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,yes,2-Day Shipping,yes,yes,43,Credit Card,Weekly
65,65,male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,yes,Standard,yes,yes,18,Debit Card,Fortnightly
66,65,male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,yes,2-Day Shipping,yes,yes,44,Venmo,Every 3 Months
67,31,male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,yes,2-Day Shipping,yes,yes,3,Venmo,Every 3 Months
68,45,male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,yes,Store Pickup,yes,yes,49,Debit Card,Monthly
69,57,male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,yes,Next Day Air,yes,yes,21,Cash,Every 3 Months
70,48,male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,yes,Express,yes,yes,5,Cash,Weekly
71,22,male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,yes,Express,yes,yes,32,Debit Card,Every 3 Months
72,36,male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,yes,Express,yes,yes,34,Bank Transfer,Annually
73,18,male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,yes,Store Pickup,yes,yes,21,Bank Transfer,Every 3 Months
74,48,male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,yes,Free Shipping,yes,yes,43,Bank Transfer,Bi-Weekly
75,49,male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,yes,Express,yes,yes,3,Cash,Monthly
76,64,male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,yes,Free Shipping,yes,yes,21,Credit Card,Annually
77,50,male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,yes,Free Shipping,yes,yes,32,Venmo,Monthly
78,22,male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,yes,Next Day Air,yes,yes,36,Debit Card,Fortnightly
79,50,male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,yes,Free Shipping,yes,yes,50,Venmo,Fortnightly
80,38,male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,yes,2-Day Shipping,yes,yes,43,Bank Transfer,Every 3 Months
81,19,male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,yes,Store Pickup,yes,yes,24,Credit Card,Every 3 Months
82,67,male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,yes,Express,yes,yes,36,Credit Card,Every 3 Months
83,19,male,Pants,Clothing,28,Georgia,S,Olive,Spring,4,yes,2-Day Shipping,yes,yes,21,Credit Card,Every 3 Months
84,36,male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,yes,Standard,yes,yes,34,Bank Transfer,Weekly
85,52,male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,yes,Standard,yes,yes,42,Bank Transfer,Every 3 Months
86,53,male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,yes,Next Day Air,yes,yes,2,Debit Card,Bi-Weekly
87,24,male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,yes,2-Day Shipping,yes,yes,47,Cash,Bi-Weekly
88,52,male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,yes,2-Day Shipping,yes,yes,44,Debit Card,Fortnightly
89,33,male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,yes,Free Shipping,yes,yes,35,Credit Card,Monthly
90,47,male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,yes,Next Day Air,yes,yes,15,Cash,Quarterly
91,25,male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,yes,Express,yes,yes,29,Credit Card,Monthly
92,44,male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,yes,Standard,yes,yes,18,Credit Card,Every 3 Months
93,61,male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,yes,2-Day Shipping,yes,yes,13,Venmo,Every 3 Months
94,37,male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,yes,Standard,yes,yes,46,Credit Card,Weekly
95,58,male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,yes,Free Shipping,yes,yes,28,Credit Card,Weekly
96,37,male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,yes,Free Shipping,yes,yes,48,PayPal,Monthly
97,32,male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,yes,Express,yes,yes,43,Venmo,Every 3 Months
98,21,male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,yes,Store Pickup,yes,yes,37,Cash,Annually
99,20,male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,yes,Next Day Air,yes,yes,20,Bank Transfer,Annually
100,26,male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,yes,Express,yes,yes,33,Debit Card,Quarterly
101,62,male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,yes,Express,yes,yes,31,Cash,Fortnightly
102,27,male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,yes,Express,yes,yes,50,Credit Card,Bi-Weekly
103,51,male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,yes,Next Day Air,yes,yes,35,Credit Card,Quarterly
104,54,male,Boots,Footwear,89,West Virginia,L,Red,Winter,4,yes,Next Day Air,yes,yes,22,Venmo,Bi-Weekly
105,55,male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,yes,2-Day Shipping,yes,yes,1,PayPal,Monthly
106,69,male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,yes,Next Day Air,yes,yes,4,Bank Transfer,Annually
107,64,male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,yes,Standard,yes,yes,31,Credit Card,Monthly
108,28,male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,yes,Next Day Air,yes,yes,46,PayPal,Fortnightly
109,70,male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,yes,Next Day Air,yes,yes,32,Bank Transfer,Bi-Weekly
110,58,male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,yes,Next Day Air,yes,yes,43,Bank Transfer,Fortnightly
111,56,male,Backpack,Accessories,26,New York,M,Black,Summer,4,yes,Standard,yes,yes,26,Venmo,Fortnightly
112,26,male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5,yes,Free Shipping,yes,yes,9,Credit Card,Annually
113,37,male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,yes,Free Shipping,yes,yes,28,PayPal,Bi-Weekly
114,44,male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,yes,Next Day Air,yes,yes,20,PayPal,Quarterly
115,70,male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,yes,Store Pickup,yes,yes,9,Cash,Weekly
116,53,male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,yes,Standard,yes,yes,48,Debit Card,Every 3 Months
117,55,male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,yes,Free Shipping,yes,yes,12,Venmo,Annually
118,50,male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,yes,Express,yes,yes,29,Cash,Fortnightly
119,50,male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,yes,2-Day Shipping,yes,yes,27,Cash,Bi-Weekly
120,38,male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,yes,Express,yes,yes,44,Cash,Annually
121,64,male,Hat,Accessories,84,West Virginia,L,Red,Summer,4,yes,Express,yes,yes,32,Bank Transfer,Annually
122,19,male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,yes,Standard,yes,yes,11,Cash,Fortnightly
123,40,male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,yes,2-Day Shipping,yes,yes,44,Cash,Fortnightly
124,57,male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,yes,Free Shipping,yes,yes,46,Cash,Weekly
125,44,male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,yes,Next Day Air,yes,yes,50,PayPal,Annually
126,49,male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,yes,Next Day Air,yes,yes,45,Venmo,Every 3 Months
127,43,male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,yes,Store Pickup,yes,yes,48,Cash,Every 3 Months
128,24,male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,yes,Next Day Air,yes,yes,26,Credit Card,Weekly
129,20,male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,yes,Standard,yes,yes,21,Credit Card,Fortnightly
130,24,male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,yes,2-Day Shipping,yes,yes,49,PayPal,Bi-Weekly
131,44,male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,yes,Next Day Air,yes,yes,13,PayPal,Fortnightly
132,28,male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,yes,Standard,yes,yes,46,Credit Card,Weekly
133,30,male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,yes,2-Day Shipping,yes,yes,42,PayPal,Weekly
134,52,male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,yes,Next Day Air,yes,yes,25,Venmo,Annually
135,43,male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,yes,Store Pickup,yes,yes,25,Cash,Monthly
136,43,male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,yes,Express,yes,yes,12,PayPal,Quarterly
137,39,male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,yes,Free Shipping,yes,yes,4,Debit Card,Quarterly
138,68,male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,yes,Free Shipping,yes,yes,38,PayPal,Weekly
139,68,male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,yes,Store Pickup,yes,yes,42,Bank Transfer,Weekly
140,49,male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,yes,Store Pickup,yes,yes,30,Venmo,Annually
141,63,male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,yes,2-Day Shipping,yes,yes,50,Credit Card,Weekly
142,56,male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,yes,Free Shipping,yes,yes,45,PayPal,Weekly
143,37,male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,yes,Free Shipping,yes,yes,33,Credit Card,Fortnightly
144,30,male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,yes,Store Pickup,yes,yes,25,PayPal,Quarterly
145,19,male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,yes,Express,yes,yes,25,Cash,Monthly
146,24,male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,yes,Standard,yes,yes,44,Debit Card,Quarterly
147,52,male,Skirt,Clothing,30,Colorado,S,Black,Fall,4,yes,Standard,yes,yes,21,Venmo,Fortnightly
148,63,male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,yes,2-Day Shipping,yes,yes,31,Bank Transfer,Fortnightly
149,37,male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,yes,Store Pickup,yes,yes,47,Debit Card,Annually
150,38,male,Pants,Clothing,76,Delaware,M,White,Summer,3.2,yes,Free Shipping,yes,yes,14,PayPal,Monthly
151,35,male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,yes,Standard,yes,yes,17,Debit Card,Every 3 Months
152,28,male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,yes,Next Day Air,yes,yes,3,Venmo,Annually
153,30,male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,yes,Express,yes,yes,42,Venmo,Annually
154,69,male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,yes,Standard,yes,yes,22,Debit Card,Annually
155,41,male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,yes,Next Day Air,yes,yes,21,Venmo,Quarterly
156,63,male,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,yes,Free Shipping,yes,yes,21,Bank Transfer,Quarterly
157,35,male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4,yes,Standard,yes,yes,40,Debit Card,Annually
158,36,male,Hat,Accessories,68,Vermont,S,Yellow,Fall,3,yes,Next Day Air,yes,yes,1,Bank Transfer,Fortnightly
159,25,male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,yes,Standard,yes,yes,50,Bank Transfer,Monthly
160,58,male,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,yes,Store Pickup,yes,yes,39,Bank Transfer,Every 3 Months
161,27,male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,yes,Free Shipping,yes,yes,34,Venmo,Monthly
162,65,male,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3,yes,Express,yes,yes,29,Venmo,Fortnightly
163,54,male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3,yes,Store Pickup,yes,yes,31,PayPal,Bi-Weekly
164,54,male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,yes,Standard,yes,yes,8,Debit Card,Weekly
165,59,male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,yes,Free Shipping,yes,yes,5,Credit Card,Fortnightly
166,42,male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,yes,Store Pickup,yes,yes,7,Cash,Monthly
167,46,male,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4,yes,Store Pickup,yes,yes,30,Cash,Monthly
168,33,male,Gloves,Accessories,27,Arkansas,M,Green,Fall,4,yes,Express,yes,yes,14,Credit Card,Every 3 Months
169,34,male,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3,yes,Express,yes,yes,5,Cash,Fortnightly
170,27,male,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,yes,Standard,yes,yes,3,PayPal,Every 3 Months
171,52,male,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,yes,Store Pickup,yes,yes,46,Venmo,Bi-Weekly
172,29,male,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,yes,Store Pickup,yes,yes,4,Credit Card,Weekly
173,54,male,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,yes,Next Day Air,yes,yes,42,Credit Card,Bi-Weekly
174,25,male,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,yes,Standard,yes,yes,30,Cash,Annually
175,41,male,Shoes,Footwear,35,Vermont,L,Brown,Winter,3.5,yes,Express,yes,yes,37,Venmo,Annually
176,53,male,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,yes,Next Day Air,yes,yes,2,Bank Transfer,Annually
177,53,male,Backpack,Accessories,81,New Hampshire,L,Black,Spring,2.7,yes,Next Day Air,yes,yes,30,Credit Card,Quarterly
178,21,male,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,yes,Next Day Air,yes,yes,47,Bank Transfer,Monthly
179,61,male,Skirt,Clothing,43,Idaho,L,Lavender,Fall,4.3,yes,2-Day Shipping,yes,yes,21,PayPal,Quarterly
180,64,male,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,yes,Store Pickup,yes,yes,9,Bank Transfer,Fortnightly
181,51,male,Sandals,Footwear,81,South Dakota,L,Green,Fall,3.3,yes,Store Pickup,yes,yes,12,Debit Card,Fortnightly
182,32,male,Pants,Clothing,61,Massachusetts,M,Beige,Summer,4.7,yes,Next Day Air,yes,yes,4,Bank Transfer,Weekly
183,38,male,Gloves,Accessories,96,Alabama,XL,Purple,Summer,2.8,yes,Store Pickup,yes,yes,10,Debit Card,Annually
184,58,male,Skirt,Clothing,29,Ohio,XL,Beige,Spring,3.6,yes,2-Day Shipping,yes,yes,26,Credit Card,Weekly
185,32,male,Sneakers,Footwear,33,Hawaii,L,Cyan,Spring,3,yes,Express,yes,yes,40,Cash,Fortnightly
186,46,male,T-shirt,Clothing,32,Wisconsin,XL,Silver,Summer,4.5,yes,Store Pickup,yes,yes,34,Bank Transfer,Fortnightly
187,39,male,Backpack,Accessories,56,Minnesota,S,Lavender,Summer,2.9,yes,Standard,yes,yes,31,Debit Card,Annually
188,19,male,Shoes,Footwear,94,Georgia,S,Purple,Spring,3.3,yes,Store Pickup,yes,yes,1,Bank Transfer,Bi-Weekly
189,50,male,Hoodie,Clothing,53,Arkansas,M,Pink,Spring,3.1,yes,Express,yes,yes,5,Bank Transfer,Bi-Weekly
190,36,male,Blouse,Clothing,82,West Virginia,M,Maroon,Fall,4.4,yes,Next Day Air,yes,yes,4,Credit Card,Weekly
191,65,male,Coat,Outerwear,70,Indiana,XL,Beige,Fall,3,yes,Free Shipping,yes,yes,48,Venmo,Quarterly
192,64,male,Hat,Accessories,76,Utah,M,Gray,Fall,3.9,yes,Free Shipping,yes,yes,29,Cash,Every 3 Months
193,46,male,Shoes,Footwear,29,Nebraska,L,Turquoise,Summer,2.9,yes,Express,yes,yes,12,PayPal,Bi-Weekly
194,36,male,Belt,Accessories,100,North Dakota,S,Silver,Fall,3,yes,Standard,yes,yes,29,Venmo,Annually
195,51,male,Backpack,Accessories,94,Missouri,M,Olive,Spring,3.1,yes,Express,yes,yes,15,Debit Card,Quarterly
196,51,male,Jacket,Outerwear,25,New York,M,Magenta,Fall,4.3,yes,Free Shipping,yes,yes,34,Credit Card,Monthly
197,38,male,Boots,Footwear,88,Washington,M,Lavender,Summer,3.9,yes,Next Day Air,yes,yes,41,Credit Card,Fortnightly
198,59,male,Scarf,Accessories,78,South Carolina,M,Black,Fall,3.2,yes,2-Day Shipping,yes,yes,41,Credit Card,Monthly
199,57,male,Jewelry,Accessories,45,Utah,M,Turquoise,Winter,4.8,yes,Standard,yes,yes,39,Credit Card,Fortnightly
200,54,male,Hat,Accessories,73,Idaho,XL,Green,Summer,3.8,yes,Express,yes,yes,32,Cash,Weekly
201,25,male,Dress,Clothing,61,Pennsylvania,S,Teal,Summer,3.3,yes,Next Day Air,yes,yes,29,Venmo,Monthly
202,69,male,Blouse,Clothing,22,Missouri,S,Beige,Fall,4.3,yes,Free Shipping,yes,yes,15,Bank Transfer,Annually
203,57,male,Hat,Accessories,38,Nebraska,L,Magenta,Spring,2.7,yes,Express,yes,yes,33,Venmo,Annually
204,70,male,Scarf,Accessories,38,Indiana,S,Yellow,Fall,3.2,yes,Next Day Air,yes,yes,18,Bank Transfer,Weekly
205,24,male,Sneakers,Footwear,100,Arizona,M,Yellow,Fall,4,yes,Store Pickup,yes,yes,35,Cash,Bi-Weekly
206,67,male,Shirt,Clothing,64,Hawaii,M,Silver,Winter,3,yes,Standard,yes,yes,25,PayPal,Weekly
207,24,male,T-shirt,Clothing,55,Wisconsin,L,Silver,Summer,4.2,yes,Free Shipping,yes,yes,6,Venmo,Fortnightly
208,62,male,Gloves,Accessories,91,Rhode Island,M,Silver,Summer,2.9,yes,Express,yes,yes,17,Bank Transfer,Bi-Weekly
209,57,male,Skirt,Clothing,38,Wisconsin,M,Gold,Spring,4.1,yes,Store Pickup,yes,yes,17,Credit Card,Monthly
210,55,male,Sandals,Footwear,97,Minnesota,S,Olive,Winter,3.2,yes,Store Pickup,yes,yes,44,Cash,Every 3 Months
